record,High quality graphics,Easy to pick up and play ,A community of players,Gameplay that gets progressively harder,Ability to upgrade and improve my character over time,Different difficulty levels,Realistic characters and settings,Compelling story,Characters I care about,Requires skill to make progress,Fast-paced gameplay,Diverse characters,Gameplay that requires problem-solving and strategic thinking,Gameplay that requires teamwork,Family-friendliness ,Offers a variety of different ways to play,Variety of skill/character upgrades ,Lots of character customization options,Ability to get matched with/play with players at the same skill level,An immersive world  ,Fun for all experience levels,Unique gameplay mechanics I can’t find in other games ,Ability to play with family and friends in person,Ability to play with family and friends online,Ability to play with strangers online  ,Has endless replayability ,Has multiple different game modes to play,Makes me feel like I’m connected to my family and friends,Makes me feel like I’m hanging out with my family/friends even when we’re not together in person 
33,1,1,1,1,3,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2
35,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,1,2,1,2,1,1
38,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2
47,1,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
48,3,2,1,1,2,2,2,3,1,1,2,1,1,1,2,2,2,1,3,2,2,2,2,2,2,2,1,2,3
51,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,1,1
63,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,1,1,2,3,3,2,2,2,3,3
73,2,2,2,3,4,1,2,3,2,1,3,3,1,2,4,3,2,3,3,2,1,2,3,3,4,3,2,2,1
76,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,3,2,2,2,2
81,1,2,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1
86,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,2
87,1,1,2,1,1,1,2,3,3,1,2,3,3,3,1,1,3,1,1,3,1,2,1,1,1,3,1,2,2
91,3,1,2,3,2,2,3,3,2,3,3,1,3,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1
96,2,1,2,3,1,2,2,1,2,2,3,2,1,2,1,1,2,3,2,3,2,1,2,2,2,3,3,1,2
