Internal.Interview.Numbers,A.Quiet.Place.Part.II,Mulan,My.Spy,Saint.Maud,The.New.Mutants,The.High.Note,Scoob.,The.SpongeBob.Movie..Sponge.on.the.Run,Antebellum,Antlers,Black.Widow,Run,Spiral,The.Woman.in.the.Window,Irresistible,The.Green.Knight,Wonder.Woman.1984,Candyman,Greyhound,Soul,Minions..The.Rise.of.Gru,In.the.Heights,Top.Gun..Maverick,Free.Guy,Ghostbusters..Afterlife,Tenet,Jungle.Cruise,Morbius,Peter.Rabbit.2..The.Runaway,Connected,The.King.s.Man,Respect,No.Time.to.Die,Fast...Furious.9,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9
127961467,0.000256112,0.000598017,0.028661331,0.001252933,0.001492891,0.001150197,0.002825469,0.012623894,0.000112028,0.000955672,0.036359113,0.003965822,0.001689221,0.013177421,0.00029883,0.009455171,0.000912924,0.219510511,0.000445458,0.001806574,0.000151711,0.001020955,0.001168972,0.002932183,0.000281993,0.000235698,0.000438869,0.000709591,0.00225919,0.001195763,0.001744082,0.00068626,0.12035981,0.529265336,3,2,5,5,5,1,4
127961498,0.005420257,0.172683092,0.010006932,0.003843395,0.003946227,0.00608773,0.000870421,5.35E-05,0.001356272,0.004354375,8.14E-05,0.005715526,0.001376982,0.000885057,0.003783323,0.00323576,0.00058021,0.000713666,0.004054027,0.011757132,0.198896105,0.001387893,0.00155252,0.016056176,0.003414094,0.004559043,0.458757304,0.001117235,0.00049246,0.011589937,0.01799108,0.00637353,0.00071827,0.036289024,1,3,2,6,7,4,5
127961718,0.004285613,0.024872532,0.002930228,0.000979603,8.18E-05,0.001882721,1.20E-05,1.65E-06,0.000891528,0.001242842,0.087089897,0.006019076,0.00368898,0.028457835,0.002547018,0.01061739,0.119027134,0.010962384,0.19770515,0.000329713,2.31E-05,0.001506094,0.210346731,0.009357952,0.007352238,0.001530792,0.000360825,0.001904657,1.17E-05,0.003345768,0.005414507,0.001250054,0.251084242,0.00288631,1,3,2,6,7,4,5
127961826,0.009417637,0.001016616,0.000910617,0.000510449,0.00559153,0.000674148,0.002256293,0.01858909,0.000612376,0.000885991,0.101079081,0.001081217,0.000166266,0.013038906,0.000523552,0.00559699,0.327018121,0.000506352,0.000967778,0.000735577,0.021173744,0.001890605,0.006168232,0.001399418,0.000196551,0.000272464,0.000934238,0.001331874,0.024421973,0.000513055,0.000982944,0.000318419,0.000641598,0.448576297,3,2,5,5,5,1,4
127961851,0.000827707,0.002441795,0.067915898,0.001168198,0.001535614,0.015680266,0.047129554,0.004634083,0.000880095,0.000443089,0.00034617,0.001942565,0.001037545,0.00080898,0.00154621,0.000597904,0.000513113,0.000458155,0.000126481,0.001073325,0.000102467,0.003470239,0.002952506,0.00012823,0.001087706,0.000464892,0.001860341,0.000641043,0.001078784,0.000805611,0.003219441,0.003191443,0.035825595,0.794064956,3,2,5,5,5,1,4
127962040,5.20E-05,1.80E-05,0.00050446,0.00023646,0.147980335,0.000348218,0.025000461,0.001639771,7.42E-05,0.000637536,0.02087855,0.001336973,0.001573731,0.00127448,0.000513547,0.010914729,0.110330811,0.152197713,0.000478092,7.27E-05,0.001212586,0.000502454,0.049455228,0.001568952,0.008878942,0.001326944,0.000288934,0.005212439,8.84E-06,0.00047681,0.003560381,0.000208964,0.043778374,0.407457391,3,2,5,5,5,1,4
127962054,9.22E-05,0.050487095,0.010674766,0.002226866,0.003591521,0.011441631,0.00091405,0.002507072,0.015703641,0.006105737,0.456957082,0.006020109,0.005900995,0.001777735,0.005759451,0.004858087,0.143986403,0.002992252,0.003946754,0.006588213,0.027365421,0.013923854,0.075817862,0.003455162,0.016572045,0.006253911,0.00378607,0.007081927,0.084527343,0.0024795,0.002355841,0.005961719,0.005190682,0.00269697,1,1,4,4,4,5,6
127962109,0.001404045,0.041078323,0.004169927,0.027880784,0.007234803,0.010204852,0.011638639,0.050899062,0.174655528,0.016699363,0.012237224,0.017605548,0.005925617,0.079811458,0.027887014,0.017553154,0.005936236,0.008216255,0.014865911,0.006572483,0.017964266,0.007181657,0.010781924,0.00340939,0.024085795,0.00403613,0.005791463,0.205995114,0.011303925,0.014668594,0.050013647,0.021674888,0.023893332,0.05672365,1,3,2,6,7,4,5
127962114,0.004388057,0.008919662,0.011603585,0.012522847,0.09163009,0.007545722,0.035612137,0.018004606,0.00665049,0.009603221,0.049623937,0.026597278,0.011252952,0.004336805,0.006737503,0.030702172,0.019802414,0.073979161,0.007730575,0.013169658,0.008082882,0.007276475,0.128036998,0.058688341,0.23989962,0.012662813,0.035307321,0.005789302,0.007748474,0.00417982,0.020751096,0.013300547,0.00644925,0.001414191,1,3,2,6,7,4,5
127962198,0.040720452,0.160351228,0.001605944,0.002161772,0.003903628,0.000278205,0.004584508,0.034358804,0.001540173,0.000963365,0.044514815,0.001345327,0.000286725,0.00974861,0.000565262,0.000906403,0.205877458,0.402482177,0.003867077,0.031911238,0.008640166,0.008072364,0.000752561,0.000195035,0.009531818,0.00039877,0.010363018,0.001223635,7.28E-05,0.00080808,0.002446467,0.000691171,0.002179585,0.002651333,1,3,2,6,7,4,5
